describe,director_name,evaluate,film_length,imdb_link,introduce,movie_name,release_date,serial_number,star,writer_name,year_country_type
如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔,782771人评价,103分钟,tt0120382,"
                                　　楚门（金•凯瑞 Jim Carrey 饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。
                                    ",楚门的世界 The Truman Show,1998-06-05(美国),15,9.2,安德鲁·尼科尔,1998/美国/剧情科幻
最好的宫崎骏，最好的久石让。 ,宫崎骏,1057410人评价,125分钟,http://toho.co.jp/sentochihiro/index2.html,"
                                　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。
                                    ",千与千寻 千と千尋の神隠し,2001-07-20(日本),7,9.3,宫崎骏,2001/日本/剧情动画奇幻
天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂,706957人评价,97分钟,tt0372824,"
                                　　1949年的法国乡村，音乐家克莱门特（杰勒德•尊诺 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗西斯•贝尔兰德 饰）只顾自己的前途，残暴高压。
                                    ",放牛班的春天 Les choristes,2004-03-17(法国),14,9.3,菲利普·洛佩斯-屈瓦尔,2004/法国瑞士德国/剧情音乐
拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格,590214人评价,195分钟,tt0108052,"
                                　　1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
                                    ",辛德勒的名单 Schindler's List,1994-02-04(美国),8,9.5,斯蒂文·泽里安,1993/美国/剧情历史战争
小瓦力，大人生。,安德鲁·斯坦顿,750198人评价,98分钟,www.pixar.com/feature-films/walle,"
                                　　公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Loa d Lifters – Earth 地球废品分装员）的机器人担当此重任。
                                    ",机器人总动员 WALL·E,2008-06-27(美国),11,9.3,彼特·道格特,2008/美国/爱情科幻动画冒险
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷,834490人评价,165分钟,tt0120731,"
                                　　本片讲述了一个钢琴天才传奇的一生。
                                    ",海上钢琴师 La leggenda del pianista sull'oceano,1998-10-28(意大利),13,9.2,朱塞佩·托纳多雷,1998/意大利/剧情音乐
英俊版憨豆，高情商版谢耳朵。,拉吉库马尔·希拉尼,1019481人评价,171分钟(印度),tt1187043,"
                                    　　本片根据印度畅销书作家奇坦·巴哈特（Chetan Bhagat）的处女作小说《五点人》（Five Point Someone）改编而成。法兰（马德哈万 R Madhavan 饰）、拉杜（沙曼·乔希 Sharman Joshi 饰）与兰乔（阿米尔·汗 Aamir Khan 饰）是皇家工程学院的学生，三人共居一室，结为好友。在以严格著称的学院里，兰乔是个非常与众不同的学生，他不死记硬背，甚至还公然顶撞校长“病毒”（波曼·伊拉尼 Boman Irani 饰），质疑他的教学方法。他不仅鼓动法兰与拉杜去勇敢追寻理想，还劝说校长的二女儿碧雅（卡琳娜·卡普 Kareena Kapoor 饰）离开满眼铜臭的未婚夫。兰乔的特立独行引起了模范学生“消音器”（奥米·维嘉 Omi Vaidya 饰）的不满，他约定十年后再与兰乔一决高下，看哪种生活方式更能取得成功。
                                        ",三傻大闹宝莱坞 3 Idiots,2009-12-25(印度),12,9.2,阿希贾特·乔希,2009/印度/剧情喜剧爱情歌舞
诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰,1132667人评价,148分钟,tt1375666,"
                                    　　道姆·柯布（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）与同事阿瑟（约瑟夫·戈登-莱维特 Joseph Gordon-Levitt 饰）和纳什（卢卡斯·哈斯 Lukas Haas 饰）在一次针对日本能源大亨齐藤（渡边谦 饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲 Cillian Murphy 饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩 Michael Caine 饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉 Ellen Page 饰）、梦境演员艾姆斯（汤姆·哈迪 Tom Hardy 饰）和药剂师约瑟夫（迪利普·劳 Dileep Rao 饰）加入行动。在一层层...
                            ",盗梦空间 Inception,2010-07-16(美国),9,9.3,克里斯托弗·诺兰,2010/美国英国/剧情科幻悬疑冒险
失去的才是永恒的。 ,詹姆斯·卡梅隆,1072199人评价,194分钟,tt0120338,"
                                　　1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。
                                    ",泰坦尼克号 Titanic,1997-12-19(美国),6,9.3,詹姆斯·卡梅隆,1997/美国/剧情爱情灾难
最美的谎言。,罗伯托·贝尼尼,662673人评价,116分钟,tt0118799,"
                                　　犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。
                                    ",美丽人生 La vita è bella,1997-12-20(意大利),5,9.5,罗伯托·贝尼尼,1997/意大利/剧情喜剧爱情战争
永远都不能忘记你所爱的人。,拉斯·霍尔斯道姆,750235人评价,93分钟,tt1028532,"
                                    　　八公（Forest 饰）是一条谜一样的犬，因为没有人知道它从哪里来。教授帕克（理查·基尔 Richard Gere 饰）在小镇的火车站拣到一只走失的小狗，冥冥中似乎注定小狗和帕克教授有着某种缘分，帕克一抱起这只小狗就再也放不下来，最终，帕克对小狗八公的疼爱感化了起初极力反对养狗的妻子卡特（琼·艾伦 Joan Allen 饰）。八公在帕克的呵护下慢慢长大，帕克上班时八公会一直把他送到车站，下班时八公也会早早便爬在车站等候，八公的忠诚让小镇的人家对它更加疼爱。有一天，八公在帕克要上班时表现异常，居然玩起了以往从来不会的捡球游戏，八公的表现让帕克非常满意，可是就是在那天，帕克因病去世。帕克的妻子、女儿安迪（萨拉·罗默尔 Sarah Roemer 饰）及女婿迈克尔（罗比·萨布莱特 Robbie Sublett 饰）怀着无比沉痛的心情埋葬了帕克，可是不明就里的...
                            ",忠犬八公的故事 Hachi: A Dog's Tale,2010-03-12(英国),10,9.3,新藤兼人,2009/美国英国/剧情
一部美国近现代史。,罗伯特·泽米吉斯,1131081人评价,142分钟,tt0109830,"
                                　　阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。
                                    ",阿甘正传 Forrest Gump,1994-07-06(美国),4,9.4,温斯顿·格鲁姆,1994/美国/剧情爱情
怪蜀黍和小萝莉不得不说的故事。,吕克·贝松,1310031人评价,110分钟(剧场版),tt0110413,"
                                　　里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。
                                    ",这个杀手不太冷 Léon,1994-09-14(法国),3,9.4,吕克·贝松,1994/法国/剧情动作犯罪
风华绝代。,陈凯歌,1064478人评价,171 分钟,tt0106332,"
                                　　段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。
                                    ",霸王别姬,1993-01-01(香港),2,9.6,李碧华,1993/中国大陆香港/剧情爱情同性
希望让人自由。,弗兰克·德拉邦特,1437226人评价,142分钟,tt0111161,"
                                    　　20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼 Morgan Freeman 饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……
                                        ",肖申克的救赎 The Shawshank Redemption,1994-10-14(美国),1,9.6,斯蒂芬·金,1994/美国/犯罪剧情
满满温情的高雅喜剧。,奥利维埃·纳卡什,545315人评价,112分钟,tt1675434,"
                                　　因为一次跳伞事故，白人富翁菲利普Philippe（弗朗索瓦·克鲁塞 François Cluzet 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德希斯Driss（奥玛·赛 Omar Sy 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德希斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……
                                    ",触不可及 Intouchables,2011-11-02(法国),25,9.2,埃里克·托莱达诺,2011/法国/剧情喜剧
真正的幸福是来自内心深处。,罗伯·莱纳,914489人评价,90分钟,tt0817177,"
                                    　　布莱斯（卡兰•麦克奥利菲 Callan McAuliffe 饰）全家搬到小镇，邻家女孩朱丽（玛德琳•卡罗尔 Madeline Carroll 饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵。原来父亲一直攒钱照顾傻弟弟，所以生活拮据。她理解了父母，自己动手，还得到了他外公的鼎力相助。他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选...
                            ",怦然心动 Flipped,2010-09-10(美国),24,9.0,文德琳·范·德拉安南,2010/美国/剧情喜剧爱情
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,黄东赫,459623人评价,125分钟,tt2070649,"
                                　　来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学 校笼罩着一种紧张压抑的气氛，令人窒息。尤其有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）和贪吃的陈宥利（郑仁絮 饰）总是躲闪。全民秀（白承焕 饰）的弟弟自杀身亡，他总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊……
                                    ",熔炉 도가니,2011-09-22(韩国),20,9.3,黄东赫,2011/韩国/剧情
香港电影史上永不过时的杰作。,刘伟强,649003人评价,101分钟,tt0338564,"
                                　　1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。
                                    ",无间道 無間道,2002-12-12(香港),21,9.2,庄文强,2002/香港/剧情犯罪悬疑
爱是一种力量，让我们超越时空感知它的存在。,克里斯托弗·诺兰,810629人评价,169分钟,tt0816692,"
                                    　　近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀（马修·麦康纳 Matthew McConaughey 饰）接连在女儿墨菲（麦肯吉·弗依 Mackenzie Foy 饰）的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授（迈克尔·凯恩 Michael Caine 饰）的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德（安妮·海瑟薇 Anne Hathaway 饰）、罗米利（大卫·吉雅西 David Gyasi 饰）、多伊尔（韦斯·本特利 Wes B...
                            ",星际穿越 Interstellar,2014-11-07(美国),17,9.2,克里斯托弗·诺兰,2014/美国英国加拿大冰岛/剧情科幻冒险
千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉,511541人评价,175 分钟,tt0068646,"
                                　　40年代的美国，“教父”维托·唐·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。
                                    ",教父 The Godfather,1972-03-24(美国),19,9.3,弗朗西斯·福特·科波拉,1972/美国/剧情犯罪
人人心中都有个龙猫，童年就永远不会消失。,宫崎骏,698479人评价,86分钟,tt0096283,"
                                　　小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。
                                    ",龙猫 となりのトトロ,1988-04-16(日本),18,9.2,宫崎骏,1988/日本/动画奇幻冒险
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,拜伦·霍华德,894655人评价,109分钟(中国大陆),tt2948356,"
                                　　故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？
                                    ",疯狂动物城 Zootopia,2016-03-04(中国大陆/美国),22,9.2,珍妮弗·李,2016/美国/喜剧动画冒险
平民励志片。 ,加布里埃莱·穆奇诺,826020人评价,117分钟,tt0454921,"
                                　　克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。
                        ",当幸福来敲门 The Pursuit of Happyness,2006-12-15(美国),23,9.0,斯蒂夫·康拉德,2006/美国/剧情传记家庭
一生所爱。,刘镇伟,789550人评价,95分钟,tt0114996,"
                                　　至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。
                                    ",大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995-02-04(香港),16,9.2,吴承恩,1995/香港中国大陆/喜剧爱情奇幻古装
